T,strike,rf,dividend,v0,kappa,sigma,rho,theta,price,original_iv
344,23.4043,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,75.4347,0.67837,
123,49.5592,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,50.7709,0.694389,
154,98.7797,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,15.6048,0.579049,
356,198.41,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,3.48906,0.536564,
244,35.3771,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,64.3673,0.675956,
153,77.6089,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,27.9904,0.614335,
215,52.7149,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,48.7111,0.647284,
320,220.268,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.66922,0.522491,
324,37.2903,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,62.7441,0.652537,
323,181.068,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.09024,0.538346,
331,22.8674,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,75.9765,0.683053,
333,189.323,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,3.64366,0.536504,
110,57.3199,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,43.4721,0.679104,
214,117.617,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.1958,0.562409,
203,53.3372,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,48.0539,0.649171,
300,115.485,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,15.2861,0.571234,
120,156.98,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.799039,0.48575,
120,66.1884,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,35.8542,0.648333,
312,180.219,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,3.89144,0.536961,
319,166.771,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.45871,0.54413,
201,196.015,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.727409,0.498385,
138,104.043,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,12.3987,0.56942,
60,96.2462,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.2092,0.575448,
44,124.625,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.656938,0.452617,
194,78.3732,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,28.8071,0.608221,
150,40.1873,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,59.7401,0.705771,
